Month,C_Basic,C_Luxury,C_Total,G,I,T,S,GDP,Gov_Deficit
1,420000,0,420000,50000,0,2100,0,470000,467900
2,317320,28456,345776,50000,0,2100,0,395776,515800
3,306788,17280,324068,50000,0,2100,0,374068,563700
4,292348,15780,308128,50000,0,2100,0,358128,611600
5,281744,14730,296474,50000,0,2100,0,346474,659500
6,273960,13920,287880,50000,0,2100,0,337880,707400
7,268200,13410,281610,50000,0,2100,0,331610,755300
8,264052,12960,277012,50000,0,2100,0,327012,803200
9,260968,12630,273598,50000,0,2100,0,323598,851100
10,258712,12450,271162,50000,0,2100,0,321162,899000
11,257076,12300,269376,50000,0,2100,0,319376,946900
12,255892,12120,268012,50000,0,2100,0,318012,994800
