Household_ID,Hierarchy_Level,Final_Assets
家計_1_階層0,0,138260
家計_2_階層1,1,4158
家計_3_階層1,1,4158
家計_4_階層1,1,4158
家計_5_階層1,1,4158
家計_6_階層2,2,1032
家計_7_階層2,2,1032
家計_8_階層2,2,1032
家計_9_階層2,2,1032
家計_10_階層2,2,1032
家計_11_階層2,2,1032
家計_12_階層2,2,1032
家計_13_階層2,2,1032
家計_14_階層2,2,1032
家計_15_階層2,2,1032
家計_16_階層2,2,1032
家計_17_階層2,2,1032
家計_18_階層2,2,1032
家計_19_階層2,2,1032
家計_20_階層2,2,1032
家計_21_階層2,2,1032
家計_22_階層0,0,67568
家計_23_階層1,1,2131
家計_24_階層1,1,2131
家計_25_階層1,1,2131
家計_26_階層1,1,2131
家計_27_階層2,2,525
家計_28_階層2,2,525
家計_29_階層2,2,525
家計_30_階層2,2,525
家計_31_階層2,2,525
家計_32_階層2,2,525
家計_33_階層2,2,525
家計_34_階層2,2,525
家計_35_階層2,2,525
家計_36_階層2,2,525
家計_37_階層2,2,525
家計_38_階層2,2,525
家計_39_階層2,2,525
家計_40_階層2,2,525
家計_41_階層2,2,525
家計_42_階層2,2,525
家計_43_階層0,0,73363
家計_44_階層1,1,2326
家計_45_階層1,1,2326
家計_46_階層1,1,2326
家計_47_階層1,1,2326
家計_48_階層2,2,574
家計_49_階層2,2,574
家計_50_階層2,2,574
家計_51_階層2,2,574
家計_52_階層2,2,574
家計_53_階層2,2,574
家計_54_階層2,2,574
家計_55_階層2,2,574
家計_56_階層2,2,574
家計_57_階層2,2,574
家計_58_階層2,2,574
家計_59_階層2,2,574
家計_60_階層2,2,574
家計_61_階層2,2,574
家計_62_階層2,2,574
家計_63_階層2,2,574
家計_64_階層0,0,70066
家計_65_階層1,1,2059
家計_66_階層1,1,2059
家計_67_階層1,1,2059
家計_68_階層1,1,2059
家計_69_階層2,2,507
家計_70_階層2,2,507
家計_71_階層2,2,507
家計_72_階層2,2,507
家計_73_階層2,2,507
家計_74_階層2,2,507
家計_75_階層2,2,507
家計_76_階層2,2,507
家計_77_階層2,2,507
家計_78_階層2,2,507
家計_79_階層2,2,507
家計_80_階層2,2,507
家計_81_階層2,2,507
家計_82_階層2,2,507
家計_83_階層2,2,507
家計_84_階層2,2,507
家計_85_階層0,0,65854
家計_86_階層1,1,1982
家計_87_階層1,1,1982
家計_88_階層1,1,1982
家計_89_階層1,1,1982
家計_90_階層2,2,488
家計_91_階層2,2,488
家計_92_階層2,2,488
家計_93_階層2,2,488
家計_94_階層2,2,488
家計_95_階層2,2,488
家計_96_階層2,2,488
家計_97_階層2,2,488
家計_98_階層2,2,488
家計_99_階層2,2,488
家計_100_階層2,2,488
家計_101_階層2,2,488
家計_102_階層2,2,488
家計_103_階層2,2,488
家計_104_階層2,2,488
家計_105_階層2,2,488
家計_106_階層0,0,68574
家計_107_階層1,1,1990
家計_108_階層1,1,1990
家計_109_階層1,1,1990
家計_110_階層1,1,1990
家計_111_階層2,2,490
家計_112_階層2,2,490
家計_113_階層2,2,490
家計_114_階層2,2,490
家計_115_階層2,2,490
家計_116_階層2,2,490
家計_117_階層2,2,490
家計_118_階層2,2,490
家計_119_階層2,2,490
家計_120_階層2,2,490
家計_121_階層2,2,490
家計_122_階層2,2,490
家計_123_階層2,2,490
家計_124_階層2,2,490
家計_125_階層2,2,490
家計_126_階層2,2,490
家計_127_階層0,0,66959
家計_128_階層1,1,2039
家計_129_階層1,1,2039
家計_130_階層1,1,2039
家計_131_階層1,1,2039
家計_132_階層2,2,502
家計_133_階層2,2,502
家計_134_階層2,2,502
家計_135_階層2,2,502
家計_136_階層2,2,502
家計_137_階層2,2,502
家計_138_階層2,2,502
家計_139_階層2,2,502
家計_140_階層2,2,502
