Month,C,G,I,T,S,GDP,Gov_Deficit
1,420000,50000,0,1890,0,470000,468110
2,318588,50000,0,2100,0,368588,516010
3,288680,50000,0,2100,0,338680,563910
4,268800,50000,0,2100,0,318800,611810
5,255500,50000,0,2100,0,305500,659710
6,246616,50000,0,2100,0,296616,707610
7,240688,50000,0,2100,0,290688,755510
8,236808,50000,0,2100,0,286808,803410
9,234160,50000,0,2100,0,284160,851310
10,232428,50000,0,2100,0,282428,899210
11,231228,50000,0,2100,0,281228,947110
12,230456,50000,0,2100,0,280456,995010
